benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
adder_i6_o4,6,4,128,1,1/16,1,2.3728,37,1.2533,7,1.1592,7,30
adder_i6_o4,6,4,128,2,1/8,1,2.3728,37,1.3301,20,1.292,20,17
adder_i6_o4,6,4,128,4,1/4,1,2.3728,37,1.7051,35,1.6275,35,2
adder_i6_o4,6,4,128,8,1/2,1,2.3728,37,1.6083,37,1.5874,37,0
adder_i6_o4,6,4,128,1,1/16,2,1.6674,37,1.1243,7,1.1367,7,30
adder_i6_o4,6,4,128,2,1/8,2,1.6674,37,1.3247,20,1.295,20,17
adder_i6_o4,6,4,128,4,1/4,2,1.6674,37,1.6334,35,1.7566,35,2
adder_i6_o4,6,4,128,8,1/2,2,1.6674,37,1.597,37,1.719,37,0
adder_i6_o4,6,4,128,1,1/16,3,1.854,37,1.14,7,1.1853,7,30
adder_i6_o4,6,4,128,2,1/8,3,1.854,37,1.2782,20,1.3225,20,17
adder_i6_o4,6,4,128,4,1/4,3,1.854,37,1.6082,35,1.7693,35,2
adder_i6_o4,6,4,128,8,1/2,3,1.854,37,1.7578,37,1.7647,37,0
